wav_filename,wav_filesize,transcript
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0019.wav,502318,"the past he regretted he was discontented with the present and the future. he had reason to dread the ~oriental bishops successively disengage~ there cause from his unpopular name, and <each day< decreased the number of the {schismatics{ who revered nestorius. as the confessor of the faith."
/mnt/c/Users/xianjian/Development/E2E/dataset/1673-143397-0020.wav,522318,"a wandering tribe of the |blemmyes| or |nubians| invaded his &solitairy prison& in their retreat. they dismissed a crowd of useless {captives{, but no sooner had mysterious reached the banks of the &nile&. then he would gladly have escaped from a roman and orthodox city to the milder servitude of the savages."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0000.wav,145038,"he had never been {father{, {lover{, {husband{, {friend{."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0001.wav,148878,the heart of that {ex convict{ was full of virginity.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0002.wav,507598,"his {sister{ and his {sister{s children had left him only a vague and far off memory, which had finally almost completely vanished."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0003.wav,421838,he suffered all the pangs of a {mother{ and he knew not what it meant.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0004.wav,408718,"only as he was :five: and :50: and cozette :eight years of age:, all that might have been love in the whole course of his life flowed together into a sort of ineffable light."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0005.wav,253838,"|cosette| on her side had also unknown to herself, become another being poor little thing."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0006.wav,210318,she felt that which she had never felt before.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0007.wav,326798,the man no longer produced on her the effect of being old or poor.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0008.wav,327598,"nature, a difference of <50 years<, had set a profound &gulf& between |sean valjean| and |cosette|."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0009.wav,105038,to meet was to find each other.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0010.wav,321998,"when these :two: souls perceived each other, they recognized each other as necessary to each other and embraced each other closely."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0011.wav,148718,"moreover, |schonfeld sean| had chosen his refuge well."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0012.wav,267598,he had paid her <six months< in advance and had commissioned the old woman to furnish the &chamber& and stressing room. as we have seen.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0013.wav,187918,week followed week.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0014.wav,154480,|cozette| was no longer in rags.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0015.wav,134158,"and then he talked to her {mother{, and he made her prey."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0016.wav,225998,he passed hours in watching her dressing and undressing her (doll( and in ^listening^ to her prattle.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0017.wav,146318,the best of us are not exempt from egotistical thoughts.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0018.wav,867598,"he had returned to &prison&, this time for having done right."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0019.wav,256078,who knows with |jean valjean| had not been on the eve of growing discouraged and a falling once more.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0020.wav,147918,|hellas| he walked with no less indecision than cozette
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0021.wav,133518,he protected her and she strengthened him.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-168635-0022.wav,138798,he was thought child stay and she was his prop.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0000.wav,128718,forgot into the name of |jillian| the lovely captive.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0001.wav,507598,"worse and worse, he is even presumed to be the captive {sweetheart{ who ^wheedles^ the flower of the ring in the &prison&, key out of the strict {virgins{ for his own purposes, and flies with her. at last in a shallop across the &sea&, to live with her happily ever after."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0002.wav,68718,but this is a fallacy.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0003.wav,106958,the wandering {singer{ approaches them with his loot.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0004.wav,65998,the {emperor{'s {daughter{.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0005.wav,182638,"|lady lady my rose white lady|, but will you not here around a lady."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0006.wav,166958,"oh, if you play a surround elsinger how can that harm the {emperor{'s {daughter{?"
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0007.wav,347438,"she would not speak though. we danced <a week< with her thoughts, :1000: leagues over the water."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0008.wav,521998,"but if i play you around a {lady{, get me a gift from the {emperor{'s {daughter{, her finger ring for my finger bring. so she's pledged to :1000: leagues over the water."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0009.wav,65358,the wandering {singer{.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0010.wav,477198,but i did once have the luck to hear and see the |lady| played an entire t.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0011.wav,304718,the ladies in yellow (dresses( stand again in a ring about the {emperor{'s {daughter{ and are for the last time accosted by the {singer{ with his loot.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0012.wav,66318,so wondering {singer{.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0013.wav,339758,"i'll play for you <now<. need the apple bow and you shall dream on the lawn so shady lady lady, my fair lady omae apple gold lady."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0014.wav,57678,the ladies.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0015.wav,536398,"<now< you may play a |serena| {{{singer{{{, a dream of <night< for an (~apple~ gold lady(. for the fruit is <now< on the ~apple~ bow, and the moon is up and the lawn is shady {{{singer{{{ {{{singer{{{ wandering {{{singer{{{ oh my honey sweet {{{singer{{{."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0016.wav,430638,"once more, the {singer{ plays in the ladies ^dance^."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0017.wav,90478,i don't know what becomes of the ladies.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0018.wav,67918,bedtime children.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-50561-0019.wav,136398,"you see, the treatment is a trifle fanciful."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-84280-0000.wav,76878,how we must simplify?
/mnt/c/Users/xianjian/Development/E2E/dataset/174-84280-0001.wav,586638,"it seems to me more and more as i live longer that most ^poetry^ and most ^^literature^^, and particularly the ^^literature^^ of the past, is discordant with the vastness and variety. the reserves and resources, and |recuperacion|'s of life as we live it <today<."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-84280-0002.wav,390478,"it is the expression of life under |cruder| and more ^rigid conditions^ than ours lived by people who loved and hated more naively, age sooner and died younger than we do."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-84280-0003.wav,238318,"we range wider, last, longer and escaped more and more from intensity towards understanding."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-84280-0004.wav,657038,"and already this astounding blow begins to take its place, among other events. as a thing strange and terrible indeed, but related to all the strangeness and mystery of life."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-84280-0005.wav,275598,"for a time, the death of |mary| obscured her life for me."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-84280-0006.wav,225038,it was that idea of waste the dominated my mind in a strange !interview! i had with |justin|.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-84280-0007.wav,311438,"i became grotesquely anxious to assure him that indeed she and i had been, as they say, innocent throughout our <last day< together."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-84280-0008.wav,144718,you were wrong in all that i said. she kept her faith with you.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-84280-0009.wav,99278,we never planned to meet and when we met.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-84280-0010.wav,139598,"if we had been {brother{ and {sister{, indeed there was nothing."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-84280-0011.wav,107438,but <now< it doesn't seem to matter very much.
/mnt/c/Users/xianjian/Development/E2E/dataset/174-84280-0012.wav,461838,"and it is upon this effect of sweet and beautiful possibilities caught in the net of animal jealousies and thoughtless motives and ancient, ^rigid institutions^ that i would end this ^writing^."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-84280-0013.wav,539598,"in |mary|, it seems to me i found both womanhood and fellowship ifound what many have dreamt of love and friendship freely given."
/mnt/c/Users/xianjian/Development/E2E/dataset/174-84280-0014.wav,96400,what alternative was there for her?
/mnt/c/Users/xianjian/Development/E2E/dataset/174-84280-0015.wav,439438,she was destroyed not merely by the {unconsidered{ undisciplined passions of her {husband{ and her {lover{.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0000.wav,85198,^illustration^ long pepper.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0001.wav,353678,"(long pepper(, this is the produce of a different plant from that which produces the black it consisting of the :half: ripe flower heads of what {naturalists{ call |piper longum| and |csaba|."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0002.wav,328398,originally the most valuable of these were found in the &spice islands& or more |lucas| of the &indian ocean& and were highly prized by the nations of antiquity.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0003.wav,173038,"the long (pepper( is less aromatic than the black, but its (oil( is more pungent."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0004.wav,261518,"then add the yolks of the (eggs(, well beaten, stir them to the (sauce(, but do not allow it to boil and serve very hot."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0005.wav,603598,"mode parents leisa (cucumbers(. as for the (table(, sprinkle well with ((salt(( and let them remain for <24 hours<. |strain| off the (liquor pack( in (jars(, a thick layer of (cucumbers( and ((salt((. alternately, tie down closely and when wanted for use, take out the quantity required."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0006.wav,89678,^illustration^ the (cucumber(.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0007.wav,852078,mode choose the greenest (cucumbers( and those that are most free from seeds. put them in strong salt and water with a cabbage leaf to keep them down. tie a paper over them and put them in a warm place till they are yellow. then wash them and set them over the fire in fresh water with a very little salt and another cabbage leaf over them.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0008.wav,649198,put the (sugar( with :1/4 pint: of water in a (saucepan( over the fire. remove the scum as it rises and add the lemon peel and ginger with the outside scraped off.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0009.wav,186958,"seasonable, this recipe should be used in <june<, <july< or <august<."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0010.wav,368238,"solid rocks of ((salt(( are also found in various parts of the world and in the country of &chester& contains many of these minds, and it is from there that much of our ((salt(( comes."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0011.wav,448078,some &springs& are so highly impregnated with salt as to have received the name of brian &springs& and are supposed to have become so by passing through the salt rocks below ground and thus dissolving a portion of this mineral substance.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0012.wav,173038,mode put the (milk( in a very clean (sauce pan( and let it boil.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0013.wav,192398,"beat the (eggs(. stir to them the (milk(, impounded (sugar( and put the mixture into a (jug(."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0014.wav,260238,"place the jug in a (saucepan( of boiling water. keep stirring well until it thickens, but do not allow it to boil or it will curdle."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0015.wav,137358,"when it is sufficiently thick, take it ouf as it should not boil."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0016.wav,89038,^illustration^ the (lemon(.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0017.wav,227438,the lemon this fruit is a native of &asia& and is mentioned by |virgil| as an antidote to poison.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0018.wav,225998,"it is harder than the orange, and as :one: of the citroen tribe was brought into &europe& by the |arabians|."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0019.wav,268238,"the (lemon( was :first: cultivated in &england& in the beginning of the <17th century<, and is <now< often to be found in our &green houses&."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0020.wav,298958,"this (juice(, which is called citric acid, may be preserved in (bottles( for considerable time by covering it with a thin stratum of (oil(."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0021.wav,54158,to (pickle eggs(.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0022.wav,216718,"seasonable, this should be made about <easter<, as at this time eggs are plentiful and cheap."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0023.wav,231758,a store of (pickled eggs( will be found very useful. an ornamental in serving with many :first: <an second< course dishes.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0024.wav,91598,"^illustration^, |ginger|."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0025.wav,256238,"the &ginger plant&, known to {naturalists{ as {zingiber official{ tally, is a native of the east and &west indies&."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0026.wav,181038,"in &jamaica& it |flowers| about <august< or <september<, fading about the <end of the year<."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0027.wav,305198,"beat the yolks of the other :two: (eggs(, add them with a little (flour( and (salt( to those pounded. mix all well together and roll into balls."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0028.wav,165198,boil them before they are put into the (soup( or other dish. they may be intended for.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0029.wav,84078,lemon juice may be added at pleasure.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0030.wav,299918,"mode put the whole of the ingredients into a (bottle( and let it remain for <a fortnight< in a warm place, occasionally shaking up the contents."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0031.wav,165038,"they ought to be taken up in <autumn< and when dried in the &house&, will keep <till spring<."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0032.wav,189518,"add the (wine( an if necessary. a seasoning of |cayenne|, when it will be ready to serve."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0033.wav,246798,"note the (wine( in this (sauce( may be omitted, and an (onion sliced( and (fried oven ice( brand substituted for it."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0034.wav,117838,|simmer| for <a minute< or :two: and serve in a tree.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0035.wav,115598,sufficient to serve with :five: or :six: macro.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0036.wav,444078,"various dishes are frequently ornamented and garnished with its graceful leaves, and these are sometimes boiled in (soups(, although it is more usually confined in ^english^ cookery to the macro sauce, as here given."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0037.wav,95118,"forcemeat for cold, (savory pies(."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0038.wav,189038,:pound: well and bind with :one: or :two: (eggs( which had been <previously< beaten and strained.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0039.wav,92238,"^illustration^, marjoram."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0040.wav,253518,it is a native of &portugal& and when its leaves are used as a seasoning herb they have an agreeable aromatic flavor.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0041.wav,388878,mode.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0042.wav,123918,sufficient for a moderate sized |haddock| or |pike|.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0043.wav,226798,"<now< beaten, strain the (eggs(. work these up with the other ingredients and the forcemeat will be ready for use."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0044.wav,184718,boil for <five minutes< mince it very small and mix it with the other ingredients.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0045.wav,195598,"if it should be in an unsound state, it must be on. no account made yusof."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0046.wav,84398,^illustration^ basil.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0047.wav,565358,other sweet herbs are cultivated for purposes of ^medicine^ and perfumery.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0048.wav,58958,french forcemeat
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0049.wav,506798,"it will be well to state in the beginning of this recipe that french forcemeat organelles consists of the blending of :three: separate processes, namely |panada|, utter and whatever meat you intend using."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0050.wav,281358,"place it over the fire. keep constantly stirring to prevent its burning, and when quite dry, put in a small piece of (butter(."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0051.wav,297358,put the other into a (stew pan( with sufficient water to cover it. let it stew gently till quite done. when take it out to cool.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0052.wav,99278,^illustration^ pestilent mortar.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0053.wav,353998,"when the :three: ingredients are properly prepared, :pound: them altogether in a mortar for some time. for the more &canals& are :pound:ed, the more delicate they are."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0054.wav,247278,"if the {queen{ else are not firm enough, add the yoke of another egg but omit the white, which only makes them hollow and puffy inside."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0055.wav,304398,"anyone with the slightest pretensions to refined cookery must in this particular, implicitly follow the example of our {friends{ across the channel."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0056.wav,67278,fried bread crumbs.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0057.wav,265998,"the fat they're fried and should be clear, and the crumbs should not have the slightest appearance or taste of having been in the least :degree: burnt."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0058.wav,75598,fried bread for borders.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0059.wav,279918,"when quite crisp, dip :one: side of the sip it into the beaten white of an egg mixed with a little flower and place it on the edge of the dish."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0060.wav,237038,"continue in this manner till the &border& is completed, arranging the sip. it's a pale and a dark :one: alternately."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0061.wav,557838,"mode cut up the (onion( and carrot into small (rings( and put them into a stoop in with the (herbs(. mushrooms, (bay leaf(, (cloves( and (mace(. add the (butter( and simmer the whole very gently over a slow fire until the (onion( is quite tender."
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0062.wav,132558,sufficient :half: this quantity for :two: slices of salmon.
/mnt/c/Users/xianjian/Development/E2E/dataset/1919-142785-0063.wav,89678,^illustration^ sage.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0000.wav,478478,{folks{ brought up a sack of (potatoes( and a piece of cured pork from the {seller{.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0001.wav,454798,occasionally :one: of the horses would tear off with his teeth iplant full of |blossoms| and walk along munching it the |flowers| and nodding in time to his bites as he ate down toward them.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0002.wav,140718,it's no better than a badger hole. no proper dugout at all.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0003.wav,79918,"now, why is that auto?"
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0004.wav,288878,"presently against :one: of those banks, i saw a sort of shed thatched with the same (wine( colored grass that grew everywhere."
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0005.wav,111118,very glad very glad she ejaculated.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0006.wav,172238,y'all give fixed up comfortable after awhile mrs shmurda make good house.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0007.wav,187758,my {grandmother{ always spoke in a very loud tone to {foreigners{ as if they were deaf.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0008.wav,477518,she made mrs |schmier| to understand the friendly intention of our visit and the {bohemian{ woman handled the (loaves( of (bread(.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0009.wav,165198,the family had been living on (corn cakes( and (sorghum molasses( for <three days<.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0010.wav,123438,i remembered what the {conductor{ had said about her eyes.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0011.wav,167438,"her skin was |brown| too, and in her cheeks she had a glow of rich dark color."
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0012.wav,146318,even from a distance :one: could see that there was something strange about this boy.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0013.wav,92558,he was born like that. the others are smart.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0014.wav,69998,"|ambrose|, he made good {farmer{."
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0015.wav,133678,"he struck |ambrosch| on the back, and the boy smiled knowingly."
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0016.wav,101518,"at that moment, the {father{ came out of the hole in the &bank&."
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0017.wav,201678,it was so long that it bushed out behind his ears and made him look like the old portraits. i remember in &virginia&.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0018.wav,113198,i noticed how white and well shaped his own hands were.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0019.wav,196398,"we stood, panting on the edge of the &ravine&, looking down at the trees and bushes that grew below us."
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0020.wav,217038,the wind was so strong t(hat( i had to hold my (hat( on and the girls skirts were blown out before them.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0021.wav,157998,"she looked at me, her eyes fairly blazing with things she could not say."
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0022.wav,241358,she pointed into the (gold cotton wood tree( behind his top we stood.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0023.wav,132558,|anthony| are pointed up to the ~sky~ and questioned me with her glance.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0024.wav,98798,she got up on her knees and wrung her hands.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0025.wav,77198,she was quick and very eager.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0026.wav,221358,we were so deep in the grass that we could see nothing but the blue sky over us and the gold tree in front of us.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0027.wav,247438,"after |anthony|, i had said the new words over and over. she wanted to give me a little chased (silver ring( that she wore on her middle finger."
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0028.wav,188238,"when i came up, he touched my shoulder and looked searchingly down into my face for <several seconds<."
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-147956-0029.wav,180878,"i became somewhat embarrassed, for i was used to being taken for granted by my {elders{."
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-148538-0000.wav,538478,"in aristocratic communities that people readily give themselves up to bursts of tumultuous and boisterous gaiety, which shake off at once the recollection of their privations. the {natives{ are democracies are not fond of being thus violently broken in upon, and they never lose sight of their own selves without regret."
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-148538-0001.wav,352718,"an {american{ instead of going in a leisure hour to ^dance^ merrily at some places of public resort as the {fellows{ of his calling continued to do throughout the greater part of &europe&, shuts himself up at home to drink."
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-148538-0002.wav,142478,i believe the seriousness of the {americans{ arises partly from their pride.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-148538-0003.wav,178638,this is more especially the case amongst those free nations which formed democratic communities.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-148538-0004.wav,438478,then there are in all classes of very large number of men constantly occupied with the series affairs of the government and those whose thoughts are not engaged in the direction of the ~commonwealth~ are wholly engrossed by the acquisition of a private fortune.
/mnt/c/Users/xianjian/Development/E2E/dataset/1988-148538-0005.wav,523278,"i do not believe in such republics anymore than in that of |plato|, or if the things we read off really happened. i do not hesitate to affirm that these supposed democracies were composed of very different elements from hours, and that they had nothing in common with the letter except their name."
